location,area,details,price,agent,agency,link,rooms,bathroom,parking
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,830 sq. ft.  •  Unfurnished","RM 1,750,000",Amy Chia,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/sale-100297233/,4+1,4,2
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,357 sq. ft.","RM 1,450,000",Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-104052029/,2+2,3,2
"Ttdi, Taman Tun Dr Ismail, Kuala Lumpur, Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","Bungalow  •  Built-up : 4,500 sq. ft.","RM 4,290,000",Brandon Ann,POLYGON PROPERTIES SDN BHD,https://www.iproperty.com.my/property/taman-tun-dr-ismail/ol-sale-104475587/,4+1,5,
"Westside Three, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,443 sq. ft.  •  Partly furnished","RM 1,450,000",Evon Tan,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/desa-park-city/westside-three/sale-104468206/,3+1,2,2
"Westside Three, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,367 sq. ft.","RM 1,350,000",Evon Tan,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/desa-park-city/westside-three/sale-104040841/,2+1,2,2
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,194 sq. ft.  •  Partly furnished","RM 1,050,000",Evon Tan,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/desa-park-city/south-brooks/sale-104468187/,3,2,2
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,093 sq. ft.  •  Partly furnished","RM 1,060,000",Evon Tan,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/desa-park-city/south-brooks/sale-104468188/,2,2,2
"Taman Megah, Kepong, Kepong Baru, Kepong","Kepong, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,000 sq. ft.  •  Partly furnished","RM 1,030,000",Emma Wong,Big Plus Properties Sdn. Bhd. - Kepong,https://www.iproperty.com.my/property/kepong/sale-103766367/,4,3,2
"The Park 2, Bukit Jalil","Bukit Jalil, Kuala Lumpur",Serviced Residence  •  Built-up : 750 sq. ft.  •  Partly furnished,"RM 738,000",Miko Lew,Dreamvest Realty Sdn. Bhd.,https://www.iproperty.com.my/property/bukit-jalil/the-park-2/sale-103429623/,2,1,1
"The Park 2, Bukit Jalil","Bukit Jalil, Kuala Lumpur","Serviced Residence  •  Built-up : 1,519 sq. ft.  •  Partly furnished","RM 1,490,000",Miko Lew,Dreamvest Realty Sdn. Bhd.,https://www.iproperty.com.my/property/bukit-jalil/the-park-2/sale-103756721/,3+1,4,3
Damansara Heights,"Damansara Heights, Kuala Lumpur","Bungalow  •  Built-up : 6,000 sq. ft.","RM 7,000,000",Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/damansara-heights/sale-104414675/,6+1,8,5
"KL Gateway Residences, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur",Serviced Residence  •  Built-up : 680 sq. ft.,"RM 530,000",Desmond Chui,Landbanc Property Sdn. Bhd.,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/kl-gateway-residences/sale-103170053/,2,1,1
"KL Gateway Premium Residences, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Serviced Residence  •  Built-up : 1,400 sq. ft.  •  Fully furnished","RM 999,999",Desmond Chui,Landbanc Property Sdn. Bhd.,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/kl-gateway-premium-residences/sale-102997083/,3+1,2,1
"Taman Megah , Kepong , Taman Petaling , Kepong","Kepong, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,200 sq. ft.  •  Partly furnished","RM 1,030,000",Adan Soh,Big Plus Properties Sdn. Bhd. - Kepong,https://www.iproperty.com.my/property/kepong/sale-103767165/,4,3,
"EkoCheras, Cheras","Cheras, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,168 sq. ft.  •  Fully furnished","RM 742,000",Micheal Yeong,Avenue Home Realty,https://www.iproperty.com.my/property/cheras/eko-cheras/sale-104506453/,2,2,2
"The Westside Two, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,777 sq. ft.","RM 1,650,000",Carol Yong,Cornerstone Xstate Sdn Bhd - Listing Jacket,https://www.iproperty.com.my/property/desa-park-city/the-westside-two/sale-104506744/,3+1,3,2
"Bukit Tunku, Kenny Hills, KL, Bukit Tunku (Kenny Hills)","Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 5,900 sq. ft.","RM 7,800,000",Mac Chia,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/bukit-tunku-kenny-hills/sale-102509268/,5+1,5,4
"Verve Suites, Mont Kiara","Mont Kiara, Kuala Lumpur",Serviced Residence  •  Built-up : 633 sq. ft.  •  Fully furnished,"RM 590,000",Lee Wei Hsien,Kith and Kin Realty Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/verve-suites/sale-102641794/,1,1,1
"Verve Suites, Mont Kiara","Mont Kiara, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 462 sq. ft.  •  Fully furnished,"RM 460,000",Lee Wei Hsien,Kith and Kin Realty Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/verve-suites/sale-101115544/,1,1,1
"Hijauan Residence, Sunway Cheras, Cheras Batu 9, Cheras","Cheras, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 2,582 sq. ft.  •  Partly furnished","RM 1,220,000",Jackie,Chong Seng Property (M) Sdn Bhd,https://www.iproperty.com.my/property/cheras/sale-104273974/,6,4,
"Safa Terraces, Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House | Corner lot  •  Built-up : 3,000 sq. ft.  •  Unfurnished","RM 3,980,000",Kent Chua,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/desa-park-city/sale-101434362/,4+1,3,3
"Pavilion Ceylon Hill, Bukit Ceylon, KL City","KL City, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 662 sq. ft.  •  Fully furnished,"RM 915,000",Ethan See,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/kl-city/pavilion-ceylon-hill/sale-104169461/,1,2,1
"Verve Suites, Mont Kiara","Mont Kiara, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 932 sq. ft.  •  Fully furnished,"RM 780,000",Lee Wei Hsien,Kith and Kin Realty Sdn. Bhd.,https://www.iproperty.com.my/property/mont-kiara/verve-suites/sale-103769648/,2,2,1
"Haji Openg, TTDI , Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","1.5-sty Terrace/Link House | Intermediate  •  Built-up : 1,900 sq. ft.  •  Partly furnished","RM 1,450,000",Yin Peng,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/taman-tun-dr-ismail/sale-102788084/,5,3,1
"TTDI , Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","1.5-sty Terrace/Link House | Intermediate  •  Built-up : 1,900 sq. ft.","RM 1,380,000",Yin Peng,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/taman-tun-dr-ismail/sale-103583522/,2+1,2,
"Dua Residency, KLCC","KLCC, Kuala Lumpur","Condominium  •  Built-up : 2,315 sq. ft.  •  Partly furnished","RM 1,690,000",Richard Small,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/dua-residency/sale-103437237/,3+1,5,2
"Danau Idaman, Taman Danau Desa, Taman Desa","Taman Desa, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 938 sq. ft.  •  Partly furnished,"RM 345,000",Wayne Ng,Chester Properties - Taman Desa,https://www.iproperty.com.my/property/taman-desa/danau-idaman/ol-sale-104475194/,3,2,1
"Cascadium, Bangsar","Bangsar, Kuala Lumpur","Condominium  •  Built-up : 1,170 sq. ft.","RM 1,000,000",Janet Kitto,Mirae Properties,https://www.iproperty.com.my/property/bangsar/cascadium/sale-102090136/,2,2,1
"Pavilion Residences, Bukit Bintang","Bukit Bintang, Kuala Lumpur","Serviced Residence  •  Built-up : 2,405 sq. ft.  •  Partly furnished","RM 3,607,500",Chong U Kian,Avid Estates,https://www.iproperty.com.my/property/bukit-bintang/pavilion-residences/sale-104506615/,3+1,4,2
"Alam Damai, Cheras","Cheras, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,484 sq. ft.  •  Unfurnished","RM 1,430,000",Fred Chai,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/cheras/sale-104506687/,4,4,
"The Westside One, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,851 sq. ft.  •  Fully furnished","RM 1,450,000",Jason Goh,Focus Estate Agency Sdn. Bhd.,https://www.iproperty.com.my/property/desa-park-city/the-westside-one/ol-sale-104474982/,3+1,3,4
"Bukit Tunkua, Bukit Tunku (Kenny Hills)","Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow  •  Built-up : 5,100 sq. ft.  •  Partly furnished","RM 12,366,500",Brandon Lim,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/bukit-tunku-kenny-hills/sale-104506626/,4+2,5,5
"D'PREMIER, DAMAI PERDANA, CHERAS, Bandar Damai Perdana","Bandar Damai Perdana, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,691 sq. ft.  •  Partly furnished","RM 1,150,000",Fred Chai,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/bandar-damai-perdana/sale-104456859/,4+1,4,
"Taman ehsan Kepong Taman Desa jaya, Kepong","Kepong, Kuala Lumpur","1-sty Terrace/Link House  •  Built-up : 1,650 sq. ft.","RM 508,000",Jeffrey Ee,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/kepong/sale-104134335/,3,2,3
"Taman Desa Jaya Taman ehsan Kepong, Kepong","Kepong, Kuala Lumpur","1-sty Terrace/Link House | Corner lot  •  Built-up : 1,500 sq. ft.","RM 950,000",Jeffrey Ee,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/kepong/sale-104391893/,3,2,6
Damansara Heights,"Damansara Heights, Kuala Lumpur","Bungalow  •  Built-up : 8,600 sq. ft.","RM 9,000,000",Bell Syazrin,FIRDAUS & ASSOCIATES REAL ESTATE AGENCY SDN BHD,https://www.iproperty.com.my/property/damansara-heights/sale-103837299/,6+6,7,4
"Bangsar Hill Park, Bangsar","Bangsar, Kuala Lumpur",Condominium | Corner lot  •  Built-up : 978 sq. ft.  •  Partly furnished,"RM 881,000",Vong Nyee How,Foreward Realty Sdn Bhd,https://www.iproperty.com.my/property/bangsar/bangsar-hill-park/sale-103282221/,2+1,2,2
Taman Tun Dr Ismail,"Taman Tun Dr Ismail, Kuala Lumpur","Bungalow  •  Built-up : 4,500 sq. ft.","RM 4,700,000",Bell Syazrin,FIRDAUS & ASSOCIATES REAL ESTATE AGENCY SDN BHD,https://www.iproperty.com.my/property/taman-tun-dr-ismail/sale-104409713/,5+3,4,2
"Bangsar Hill Park, Bangsar","Bangsar, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,478 sq. ft.  •  Partly furnished","RM 1,159,000",Vong Nyee How,Foreward Realty Sdn Bhd,https://www.iproperty.com.my/property/bangsar/bangsar-hill-park/sale-103280647/,3+1,4,2
Bukit Tunku (Kenny Hills),"Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow  •  Built-up : 15,000 sq. ft.","RM 15,000,000",Elaine Chin,LHC VALUERS & PROPERTY CONSULTANTS,https://www.iproperty.com.my/property/bukit-tunku-kenny-hills/sale-104474628/,6,7,6
"Bandar Menjalara / Kepong / Sunway SPK , Sunway SPK","Sunway SPK, Kuala Lumpur","2.5-sty Terrace/Link House | Intermediate  •  Built-up : 2,600 sq. ft.  •  Fully furnished","RM 1,890,000",Frankie Lim,Sinland Real Estate,https://www.iproperty.com.my/property/sunway-spk/sale-102100229/,5,4,3
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,766 sq. ft.  •  Fully furnished","RM 2,400,000",Jack Loo,Mirae Properties,https://www.iproperty.com.my/property/mont-kiara/agile-mont-kiara/sale-104132180/,4+1,5,3
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,830 sq. ft.  •  Unfurnished","RM 1,800,000",Jack Loo,Mirae Properties,https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/sale-104103990/,4+1,4,2
"Guarded (TTDI) , Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,600 sq. ft.  •  Unfurnished","RM 1,250,000",Yin Peng,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/taman-tun-dr-ismail/sale-104474428/,3,2,
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Dual key  •  Built-up : 2,065 sq. ft.  •  Unfurnished","RM 1,670,000",Jack Loo,Mirae Properties,https://www.iproperty.com.my/property/mont-kiara/agile-mont-kiara/sale-104099016/,4+1,4,2
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,603 sq. ft.  •  Unfurnished","RM 1,400,000",Jack Loo,Mirae Properties,https://www.iproperty.com.my/property/mont-kiara/agile-mont-kiara/sale-104099062/,3+1,4,2
"Kepong Taman ehsan Desa jaya Kepong, Kepong","Kepong, Kuala Lumpur","1-sty Terrace/Link House  •  Built-up : 1,650 sq. ft.","RM 508,000",Jeffrey Ee,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/kepong/sale-104474888/,3,2,3
"Bukit Tunku Kenny Hills, Bukit Tunku (Kenny Hills)","Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow  •  Built-up : 20,000 sq. ft.  •  Partly furnished","RM 45,000,000",Jason Cho,POLYGON PROPERTIES SDN BHD,https://www.iproperty.com.my/property/bukit-tunku-kenny-hills/sale-102506537/,6,6,6
"Suria Stonor, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 3,303 sq. ft.  •  Unfurnished","RM 2,000,000",Sue,KKLAND PROPERTIES,https://www.iproperty.com.my/property/klcc/suria-stonor/sale-104480906/,4+1,5,3
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,368 sq. ft.  •  Partly furnished","RM 1,890,000",Leonnie Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/mont-kiara/agile-mont-kiara/sale-103950736/,3+1,4,3
"Non-Split Layout, Burhanuddin Helmi, Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","1-sty Terrace/Link House  •  Built-up : 1,600 sq. ft.","RM 1,300,000",Yin Peng,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/taman-tun-dr-ismail/sale-104493743/,3,2,
"The Sentral Residences, KL Sentral","KL Sentral, Kuala Lumpur","Serviced Residence  •  Built-up : 1,087 sq. ft.  •  Partly furnished","RM 1,200,000",Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kl-sentral/the-sentral-residences/sale-103779548/,1+1,1,1
"Gembira Residen, Taman Gembira, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium  •  Built-up : 1,392 sq. ft.  •  Partly furnished","RM 659,999",Nicholas Wong,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/gembira-residen/cl-sale-104445132/,3,3,
"Banyan Tree Signatures, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 1,076 sq. ft.  •  Partly furnished","RM 1,780,000",Daniel Chieng,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/klcc/banyan-tree-signatures/sale-104252862/,1+1,2,1
"Banyan Tree Signatures, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 1,668 sq. ft.  •  Fully furnished","RM 3,630,000",Daniel Chieng,CID Realtors Sdn Bhd,https://www.iproperty.com.my/property/klcc/banyan-tree-signatures/sale-104271426/,3,3,2
"Riana Green East, Wangsa Maju","Wangsa Maju, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,909 sq. ft.  •  Unfurnished","RM 765,000",Llionel Ong,GT Nelson Realty Sdn Bhd,https://www.iproperty.com.my/property/wangsa-maju/riana-green-east/sale-103494051/,4+1,3,2
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,367 sq. ft.  •  Fully furnished","RM 1,480,000",Eva Koi,CID Realtors Sdn. Bhd. -  Sunway,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-103999744/,2+2,3,2
"Endah Promenade, Taman Sri Endah, Sri Petaling","Sri Petaling, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,279 sq. ft.  •  Fully furnished","RM 515,000",Davis Tey,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/sri-petaling/endah-promenade/sale-104161679/,3,2,1
"Arte Plus, Ampang","Ampang, Kuala Lumpur",Condominium  •  Built-up : 761 sq. ft.,"RM 480,000",Joly Liew,Tech Realtors Properties Sdn. Bhd.,https://www.iproperty.com.my/property/ampang/arte-plus/ol-sale-104448228/,2,2,1
"The Northshore Gardens, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,948 sq. ft.  •  Partly furnished","RM 1,900,000",Eva Koi,CID Realtors Sdn. Bhd. -  Sunway,https://www.iproperty.com.my/property/desa-park-city/the-northshore-gardens/sale-104424750/,3+1,4,2
"Bukit Jalil Golf And Country Resort, Bukit Jalil","Bukit Jalil, Kuala Lumpur","Bungalow  •  Built-up : 6,500 sq. ft.  •  Partly furnished","RM 5,000,000",Marcus Liew,Simon Realty,https://www.iproperty.com.my/property/bukit-jalil/ol-sale-104506032/,6,3,3
"Ampang New Terrace House 22x75 Freehold, Setiawangsa","Setiawangsa, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,329 sq. ft.","RM 1,240,000",Grace Ng,HCITY REAL ESTATE,https://www.iproperty.com.my/property/setiawangsa/sale-104424753/,4,4,
"Mont Kiara Meridin, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,513 sq. ft.","RM 1,450,000",Alton Chua,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/mont-kiara-meridin/sale-104471648/,4+1,4,3
"The Northshore Gardens, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,454 sq. ft.  •  Partly furnished","RM 2,500,000",Eva Koi,CID Realtors Sdn. Bhd. -  Sunway,https://www.iproperty.com.my/property/desa-park-city/the-northshore-gardens/sale-104424754/,4+1,5,4
"Taman Cheras, Taman Rakyat , Yulek ,Cheras, Cheras","Cheras, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,200 sq. ft.","RM 690,000",Joly Liew,Tech Realtors Properties Sdn. Bhd.,https://www.iproperty.com.my/property/cheras/sale-104289222/,4,3,
Sri Hartamas,"Sri Hartamas, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 3,000 sq. ft.  •  Partly furnished","RM 1,980,000",Martin Lee,Ace Realty,https://www.iproperty.com.my/property/sri-hartamas/sale-104168705/,5,3,6
"CitiZen @ Old Klang Road, Taman Sri Sentosa, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,133 sq. ft.  •  Unfurnished","RM 610,000",Vincent Beh,Dreamvest Realty Sdn. Bhd.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/citi-zen-old-klang-road/sale-102899612/,3+1,2,2
"Pavilion Suites, Bukit Bintang","Bukit Bintang, Kuala Lumpur",Condominium  •  Built-up : 718 sq. ft.  •  Fully furnished,"RM 1,990,000",Ivan Bong,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/bukit-bintang/pavilion-suites/sale-104184269/,1,1,1
"Residensi 22, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,878 sq. ft.  •  Fully furnished","RM 2,100,000",Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/mont-kiara/residensi-22/sale-102802651/,3+1,4,2
"The Plaza Condominium @ TTDI, Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur","Condominium  •  Built-up : 1,800 sq. ft.  •  Partly furnished","RM 1,400,000",Karen Leong,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/taman-tun-dr-ismail/the-plaza-condominium-ttdi/sale-103464592/,3+1,4,2
"Irama Wangsa, Wangsa Maju","Wangsa Maju, Kuala Lumpur","Condominium  •  Built-up : 1,152 sq. ft.","RM 689,000",Kendro Lee,Henry Butcher Real Estate - KL - HQ,https://www.iproperty.com.my/property/wangsa-maju/irama-wangsa/sale-103623527/,3,2,2
"Irama Wangsa, Wangsa Maju","Wangsa Maju, Kuala Lumpur","Condominium  •  Built-up : 1,206 sq. ft.","RM 705,000",Kendro Lee,Henry Butcher Real Estate - KL - HQ,https://www.iproperty.com.my/property/wangsa-maju/irama-wangsa/sale-103669267/,3,2,2
"Irama Wangsa, Wangsa Maju","Wangsa Maju, Kuala Lumpur","Condominium  •  Built-up : 1,335 sq. ft.","RM 748,000",Kendro Lee,Henry Butcher Real Estate - KL - HQ,https://www.iproperty.com.my/property/wangsa-maju/irama-wangsa/sale-103624298/,3,2,2
"Sunway Montana, Taman Melawati, Setapak, KL, Taman Melawati","Taman Melawati, Kuala Lumpur","Townhouse  •  Built-up : 2,750 sq. ft.","RM 1,680,000",Eweng Poh,Vivahomes Realty - Kota Damansara,https://www.iproperty.com.my/property/taman-melawati/sale-104472631/,3+1,4,4
"Mirage Residence, KL City Centre, KLCC","KLCC, Kuala Lumpur","Condominium  •  Built-up : 1,424 sq. ft.","RM 1,018,000",Jesson Lim,Dreamvest Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/mirage-residence/ol-sale-104167886/,2,2,2
"Shamelin Star, Taman Shamelin Perkasa, Cheras","Cheras, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 893 sq. ft.,"RM 499,000",Cony Tan,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/cheras/shamelin-star/sale-103414750/,3,2,1
"Trinity Pentamont, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,064 sq. ft.","RM 1,524,016",Keith Lee,Arden Estates Sdn Bhd,https://www.iproperty.com.my/property/mont-kiara/trinity-pentamont/sale-104114873/,4+1,4,3
"One Menerung, Bukit Bandaraya, Bangsar","Bangsar, Kuala Lumpur","Condominium  •  Built-up : 3,289 sq. ft.  •  Partly furnished","RM 4,300,000",Sandra Lee,Prestige Realty,https://www.iproperty.com.my/property/bangsar/one-menerung/sale-102905732/,4+1,5,3
Sri Petaling,"Sri Petaling, Kuala Lumpur","1-sty Terrace/Link House | Corner lot  •  Built-up : 2,000 sq. ft.  •  Partly furnished","RM 1,180,000",Wing Lam,CHESTER PROPERTIES SDN BHD,https://www.iproperty.com.my/property/sri-petaling/ol-sale-104349637/,3,2,4
"Endah Ria, Taman Sri Endah, Sri Petaling","Sri Petaling, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 946 sq. ft.  •  Partly furnished,"RM 325,000",Wing Lam,CHESTER PROPERTIES SDN BHD,https://www.iproperty.com.my/property/sri-petaling/endah-ria/sale-101278195/,3,2,1
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,034 sq. ft.","RM 1,165,000",Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/one-central-park/sale-103429696/,2,1,2
"Westside Three, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,099 sq. ft.","RM 1,020,000",Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/westside-three/sale-102001230/,2,2,2
"Aira Residence, Damansara Heights","Damansara Heights, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,894 sq. ft.  •  Partly furnished","RM 2,850,000",TH Lee,Propnex Realty Sdn. Bhd.,https://www.iproperty.com.my/property/damansara-heights/aira-residence/sale-103423592/,3+1,3,2
"Idaman Residence, KL City Centre, KLCC","KLCC, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 2,174 sq. ft.","RM 1,250,000",Lily Ong,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/idaman-residence/sale-104503261/,3+1,5,2
"Grove Lakefields Grove Lake Fields Sungai Besi KL, Sungai Besi","Sungai Besi, Kuala Lumpur","Semi-detached House  •  Built-up : 4,460 sq. ft.  •  Partly furnished","RM 2,600,000",Oliver Mak,Meridin Properties,https://www.iproperty.com.my/property/sungai-besi/sale-102884666/,5+1,6,
"The Estate, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,519 sq. ft.  •  Partly furnished","RM 1,830,000",Theresa Chow,Dutama Properties,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/the-estate/sale-103967495/,4+1,5,4
"Ambrosia @ Kinrara Residence, Puchong","Puchong, Kuala Lumpur","Bungalow | Intermediate  •  Built-up : 5,688 sq. ft.","RM 3,880,000",Oliver Mak,Meridin Properties,https://www.iproperty.com.my/property/puchong/sale-102965138/,6+1,7,
"Zenia , Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,500 sq. ft.  •  Fully furnished","RM 2,350,000",Andrew Tan,Reapfield Properties (HQ) Sdn. Bhd.,https://www.iproperty.com.my/property/desa-park-city/sale-102661469/,3+1,4,2
"Damai Residence, Sungai Besi","Sungai Besi, Kuala Lumpur",Serviced Residence  •  Built-up : 910 sq. ft.,"RM 498,000",June Koo,Titanium Realty . -  Kepong,https://www.iproperty.com.my/property/sungai-besi/damai-residence/sale-103693270/,3,2,2
"Residensi 22, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,073 sq. ft.  •  Fully furnished","RM 2,000,000",Mandy Lee,Billion Realtors,https://www.iproperty.com.my/property/mont-kiara/residensi-22/sale-100366484/,3+1,4,2
